Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'21.02.2024 12:00'";19;51;8;-;"sehr gut"
DENI062;"'21.02.2024 13:00'";18;55;8;-;"sehr gut"
DENI062;"'21.02.2024 14:00'";18;49;12;-;"sehr gut"
DENI062;"'21.02.2024 15:00'";18;53;12;-;"sehr gut"
DENI062;"'21.02.2024 16:00'";17;59;11;-;"sehr gut"
DENI062;"'21.02.2024 17:00'";16;58;14;-;"sehr gut"
DENI062;"'21.02.2024 18:00'";16;52;16;-;"sehr gut"
DENI062;"'21.02.2024 19:00'";15;56;11;-;"sehr gut"
DENI062;"'21.02.2024 20:00'";15;56;9;-;"sehr gut"
DENI062;"'21.02.2024 21:00'";14;55;9;-;"sehr gut"
DENI062;"'21.02.2024 22:00'";13;58;7;-;"sehr gut"
DENI062;"'21.02.2024 23:00'";13;60;7;-;"sehr gut"
DENI062;"'21.02.2024 24:00'";12;62;5;-;gut
DENI062;"'22.02.2024 01:00'";11;62;5;-;gut
DENI062;"'22.02.2024 02:00'";10;-;4;-;"sehr gut"
DENI062;"'22.02.2024 03:00'";10;63;-;-;gut
DENI062;"'22.02.2024 04:00'";9;61;4;-;gut
DENI062;"'22.02.2024 05:00'";8;57;5;-;"sehr gut"
DENI062;"'22.02.2024 06:00'";7;52;7;-;"sehr gut"
DENI062;"'22.02.2024 07:00'";6;45;11;-;"sehr gut"
DENI062;"'22.02.2024 08:00'";6;41;15;-;"sehr gut"
DENI062;"'22.02.2024 09:00'";6;40;15;-;"sehr gut"
DENI062;"'22.02.2024 10:00'";5;40;12;-;"sehr gut"
DENI062;"'22.02.2024 11:00'";5;41;11;-;"sehr gut"
DENI062;"'22.02.2024 12:00'";5;41;11;-;"sehr gut"
DENI062;"'22.02.2024 13:00'";5;44;12;-;"sehr gut"
DENI062;"'22.02.2024 14:00'";5;51;10;-;"sehr gut"
DENI062;"'22.02.2024 15:00'";4;56;10;-;"sehr gut"
DENI062;"'22.02.2024 16:00'";4;54;11;-;"sehr gut"
DENI062;"'22.02.2024 17:00'";4;57;10;-;"sehr gut"
DENI062;"'22.02.2024 18:00'";4;56;9;-;"sehr gut"
DENI062;"'22.02.2024 19:00'";4;54;8;-;"sehr gut"
DENI062;"'22.02.2024 20:00'";4;53;7;-;"sehr gut"
DENI062;"'22.02.2024 21:00'";4;53;7;-;"sehr gut"
DENI062;"'22.02.2024 22:00'";3;54;6;-;"sehr gut"
DENI062;"'22.02.2024 23:00'";3;58;4;-;"sehr gut"
DENI062;"'22.02.2024 24:00'";3;61;3;-;gut
DENI062;"'23.02.2024 01:00'";3;83;3;-;gut
DENI062;"'23.02.2024 02:00'";3;86;2;-;gut
DENI062;"'23.02.2024 03:00'";3;-;2;-;"sehr gut"
DENI062;"'23.02.2024 04:00'";3;81;-;-;gut
DENI062;"'23.02.2024 05:00'";3;85;2;-;gut
DENI062;"'23.02.2024 06:00'";2;80;3;-;gut
DENI062;"'23.02.2024 07:00'";2;77;6;-;gut
DENI062;"'23.02.2024 08:00'";2;73;7;-;gut
DENI062;"'23.02.2024 09:00'";3;72;7;-;gut
DENI062;"'23.02.2024 10:00'";3;79;5;-;gut
DENI062;"'23.02.2024 11:00'";3;81;5;-;gut
DENI062;"'23.02.2024 12:00'";3;80;5;-;gut
DENI062;"'23.02.2024 13:00'";3;78;6;-;gut
DENI062;"'23.02.2024 14:00'";3;76;6;-;gut
DENI062;"'23.02.2024 15:00'";2;77;5;-;gut
DENI062;"'23.02.2024 16:00'";2;73;8;-;gut
DENI062;"'23.02.2024 17:00'";3;73;6;-;gut
DENI062;"'23.02.2024 18:00'";3;69;8;-;gut
DENI062;"'23.02.2024 19:00'";3;70;7;-;gut
DENI062;"'23.02.2024 20:00'";3;69;7;-;gut
DENI062;"'23.02.2024 21:00'";3;67;7;-;gut
DENI062;"'23.02.2024 22:00'";3;65;8;-;gut
DENI062;"'23.02.2024 23:00'";3;66;6;-;gut
DENI062;"'23.02.2024 24:00'";4;59;7;-;"sehr gut"
DENI062;"'24.02.2024 01:00'";4;59;6;-;"sehr gut"
DENI062;"'24.02.2024 02:00'";4;58;5;-;"sehr gut"
DENI062;"'24.02.2024 03:00'";4;55;6;-;"sehr gut"
DENI062;"'24.02.2024 04:00'";4;-;6;-;"sehr gut"
DENI062;"'24.02.2024 05:00'";5;49;-;-;"sehr gut"
DENI062;"'24.02.2024 06:00'";5;46;9;-;"sehr gut"
DENI062;"'24.02.2024 07:00'";5;45;9;-;"sehr gut"
DENI062;"'24.02.2024 08:00'";5;42;11;-;"sehr gut"
DENI062;"'24.02.2024 09:00'";5;43;10;-;"sehr gut"
DENI062;"'24.02.2024 10:00'";5;49;7;-;"sehr gut"
DENI062;"'24.02.2024 11:00'";5;56;7;-;"sehr gut"
DENI062;"'24.02.2024 12:00'";5;60;6;-;"sehr gut"
DENI062;"'24.02.2024 13:00'";5;62;5;-;gut
DENI062;"'24.02.2024 14:00'";5;63;7;-;gut
DENI062;"'24.02.2024 15:00'";6;66;5;-;gut
DENI062;"'24.02.2024 16:00'";6;66;5;-;gut
DENI062;"'24.02.2024 17:00'";6;67;5;-;gut
DENI062;"'24.02.2024 18:00'";6;69;6;-;gut
DENI062;"'24.02.2024 19:00'";6;63;10;-;gut
DENI062;"'24.02.2024 20:00'";6;65;8;-;gut
DENI062;"'24.02.2024 21:00'";5;62;8;-;gut
DENI062;"'24.02.2024 22:00'";5;65;6;-;gut
DENI062;"'24.02.2024 23:00'";5;66;5;-;gut
DENI062;"'24.02.2024 24:00'";5;64;5;-;gut
DENI062;"'25.02.2024 01:00'";5;58;4;-;"sehr gut"
DENI062;"'25.02.2024 02:00'";5;52;5;-;"sehr gut"
DENI062;"'25.02.2024 03:00'";5;50;5;-;"sehr gut"
DENI062;"'25.02.2024 04:00'";5;56;4;-;"sehr gut"
DENI062;"'25.02.2024 05:00'";5;-;4;-;"sehr gut"
DENI062;"'25.02.2024 06:00'";5;58;5;-;"sehr gut"
DENI062;"'25.02.2024 07:00'";5;60;5;-;"sehr gut"
DENI062;"'25.02.2024 08:00'";5;59;5;-;"sehr gut"
DENI062;"'25.02.2024 09:00'";5;58;5;-;"sehr gut"
DENI062;"'25.02.2024 10:00'";5;60;6;-;"sehr gut"
DENI062;"'25.02.2024 11:00'";5;59;5;-;"sehr gut"
DENI062;"'25.02.2024 12:00'";5;59;5;-;"sehr gut"
DENI062;"'25.02.2024 13:00'";5;63;4;-;gut
DENI062;"'25.02.2024 14:00'";5;66;4;-;gut
DENI062;"'25.02.2024 15:00'";5;69;4;-;gut
DENI062;"'25.02.2024 16:00'";5;74;4;-;gut
DENI062;"'25.02.2024 17:00'";5;68;9;-;gut
DENI062;"'25.02.2024 18:00'";5;59;9;-;"sehr gut"
DENI062;"'25.02.2024 19:00'";5;51;12;-;"sehr gut"
DENI062;"'25.02.2024 20:00'";5;49;11;-;"sehr gut"
DENI062;"'25.02.2024 21:00'";5;53;7;-;"sehr gut"
DENI062;"'25.02.2024 22:00'";6;54;7;-;"sehr gut"
DENI062;"'25.02.2024 23:00'";6;35;-;-;"sehr gut"
DENI062;"'25.02.2024 24:00'";6;17;19;-;"sehr gut"
DENI062;"'26.02.2024 01:00'";6;28;13;-;"sehr gut"
DENI062;"'26.02.2024 02:00'";6;21;11;-;"sehr gut"
DENI062;"'26.02.2024 03:00'";6;12;15;-;"sehr gut"
DENI062;"'26.02.2024 04:00'";6;6;19;-;"sehr gut"
DENI062;"'26.02.2024 05:00'";6;6;19;-;"sehr gut"
DENI062;"'26.02.2024 06:00'";6;2;24;-;gut
DENI062;"'26.02.2024 07:00'";6;2;23;-;gut
DENI062;"'26.02.2024 08:00'";7;6;18;-;"sehr gut"
DENI062;"'26.02.2024 09:00'";7;21;13;-;"sehr gut"
DENI062;"'26.02.2024 10:00'";7;22;13;-;"sehr gut"
DENI062;"'26.02.2024 11:00'";7;30;11;-;"sehr gut"
DENI062;"'26.02.2024 12:00'";7;33;11;-;"sehr gut"
DENI062;"'26.02.2024 13:00'";7;44;6;-;"sehr gut"
DENI062;"'26.02.2024 14:00'";7;51;6;-;"sehr gut"
DENI062;"'26.02.2024 15:00'";7;61;4;-;gut
DENI062;"'26.02.2024 16:00'";8;59;5;-;"sehr gut"
DENI062;"'26.02.2024 17:00'";8;47;10;-;"sehr gut"
DENI062;"'26.02.2024 18:00'";9;43;12;-;"sehr gut"
DENI062;"'26.02.2024 19:00'";10;49;9;-;"sehr gut"
DENI062;"'26.02.2024 20:00'";10;52;7;-;"sehr gut"
DENI062;"'26.02.2024 21:00'";11;52;7;-;"sehr gut"
DENI062;"'26.02.2024 22:00'";11;51;6;-;"sehr gut"
DENI062;"'26.02.2024 23:00'";12;-;5;-;"sehr gut"
DENI062;"'26.02.2024 24:00'";12;54;-;-;"sehr gut"
DENI062;"'27.02.2024 01:00'";12;52;4;-;"sehr gut"
DENI062;"'27.02.2024 02:00'";13;51;5;-;"sehr gut"
DENI062;"'27.02.2024 03:00'";13;49;5;-;"sehr gut"
DENI062;"'27.02.2024 04:00'";13;49;6;-;"sehr gut"
DENI062;"'27.02.2024 05:00'";14;43;8;-;"sehr gut"
DENI062;"'27.02.2024 06:00'";14;45;7;-;"sehr gut"
DENI062;"'27.02.2024 07:00'";15;46;6;-;"sehr gut"
DENI062;"'27.02.2024 08:00'";15;47;7;-;"sehr gut"
DENI062;"'27.02.2024 09:00'";15;53;6;-;"sehr gut"
DENI062;"'27.02.2024 10:00'";15;57;4;-;"sehr gut"
DENI062;"'27.02.2024 11:00'";15;59;4;-;"sehr gut"
DENI062;"'27.02.2024 12:00'";15;62;4;-;gut
DENI062;"'27.02.2024 13:00'";15;61;5;-;gut
DENI062;"'27.02.2024 14:00'";15;62;5;-;gut
DENI062;"'27.02.2024 15:00'";15;61;6;-;gut
DENI062;"'27.02.2024 16:00'";15;62;6;-;gut
DENI062;"'27.02.2024 17:00'";15;62;5;-;gut
DENI062;"'27.02.2024 18:00'";14;63;5;-;gut
DENI062;"'27.02.2024 19:00'";13;64;5;-;gut
DENI062;"'27.02.2024 20:00'";12;62;5;-;gut
DENI062;"'27.02.2024 21:00'";12;63;4;-;gut
DENI062;"'27.02.2024 22:00'";11;61;6;-;gut
DENI062;"'27.02.2024 23:00'";10;64;5;-;gut
DENI062;"'27.02.2024 24:00'";10;-;4;-;"sehr gut"
DENI062;"'28.02.2024 01:00'";10;63;-;-;gut
DENI062;"'28.02.2024 02:00'";9;63;4;-;gut
DENI062;"'28.02.2024 03:00'";9;64;4;-;gut
DENI062;"'28.02.2024 04:00'";9;64;4;-;gut
DENI062;"'28.02.2024 05:00'";8;63;4;-;gut
DENI062;"'28.02.2024 06:00'";8;57;9;-;"sehr gut"
DENI062;"'28.02.2024 07:00'";8;50;13;-;"sehr gut"
DENI062;"'28.02.2024 08:00'";7;47;15;-;"sehr gut"
DENI062;"'28.02.2024 09:00'";7;51;13;-;"sehr gut"
DENI062;"'28.02.2024 10:00'";7;54;11;-;"sehr gut"
DENI062;"'28.02.2024 11:00'";7;56;7;-;"sehr gut"
DENI062;"'28.02.2024 12:00'";8;57;7;-;"sehr gut"
DENI062;"'28.02.2024 13:00'";8;61;7;-;gut
DENI062;"'28.02.2024 14:00'";8;65;8;-;gut
DENI062;"'28.02.2024 15:00'";8;67;8;-;gut
DENI062;"'28.02.2024 16:00'";9;66;10;-;gut
DENI062;"'28.02.2024 17:00'";9;60;13;-;"sehr gut"
DENI062;"'28.02.2024 18:00'";9;53;17;-;"sehr gut"
DENI062;"'28.02.2024 19:00'";9;48;19;-;"sehr gut"
DENI062;"'28.02.2024 20:00'";10;42;18;-;"sehr gut"
DENI062;"'28.02.2024 21:00'";10;36;20;-;"sehr gut"
DENI062;"'28.02.2024 22:00'";11;36;17;-;"sehr gut"
DENI062;"'28.02.2024 23:00'";11;41;12;-;"sehr gut"
DENI062;"'28.02.2024 24:00'";12;37;12;-;"sehr gut"
DENI062;"'29.02.2024 01:00'";13;-;15;-;"sehr gut"
DENI062;"'29.02.2024 02:00'";14;32;-;-;"sehr gut"
DENI062;"'29.02.2024 03:00'";15;33;12;-;"sehr gut"
DENI062;"'29.02.2024 04:00'";16;35;11;-;"sehr gut"
DENI062;"'29.02.2024 05:00'";17;35;11;-;"sehr gut"
DENI062;"'29.02.2024 06:00'";18;31;15;-;"sehr gut"
DENI062;"'29.02.2024 07:00'";18;31;17;-;"sehr gut"
DENI062;"'29.02.2024 08:00'";19;30;21;-;gut
DENI062;"'29.02.2024 09:00'";19;38;17;-;"sehr gut"
DENI062;"'29.02.2024 10:00'";19;47;13;-;"sehr gut"
DENI062;"'29.02.2024 11:00'";19;55;11;-;"sehr gut"
DENI062;"'29.02.2024 12:00'";19;60;10;-;"sehr gut"
DENI062;"'29.02.2024 13:00'";19;65;10;-;gut
DENI062;"'29.02.2024 14:00'";18;70;10;-;gut
DENI062;"'29.02.2024 15:00'";18;73;8;-;gut
DENI062;"'29.02.2024 16:00'";18;72;10;-;gut
DENI062;"'29.02.2024 17:00'";18;68;12;-;gut
DENI062;"'29.02.2024 18:00'";18;65;14;-;gut
DENI062;"'29.02.2024 19:00'";17;62;13;-;gut
DENI062;"'29.02.2024 20:00'";17;58;9;-;"sehr gut"
DENI062;"'29.02.2024 21:00'";17;54;9;-;"sehr gut"
DENI062;"'29.02.2024 22:00'";17;50;9;-;"sehr gut"
DENI062;"'29.02.2024 23:00'";17;47;8;-;"sehr gut"
DENI062;"'29.02.2024 24:00'";17;45;7;-;"sehr gut"
DENI062;"'01.03.2024 01:00'";16;44;7;-;"sehr gut"
DENI062;"'01.03.2024 02:00'";15;-;7;-;"sehr gut"
DENI062;"'01.03.2024 03:00'";15;34;-;-;"sehr gut"
DENI062;"'01.03.2024 04:00'";14;32;7;-;"sehr gut"
DENI062;"'01.03.2024 05:00'";14;28;9;-;"sehr gut"
DENI062;"'01.03.2024 06:00'";13;25;11;-;"sehr gut"
DENI062;"'01.03.2024 07:00'";13;21;15;-;"sehr gut"
DENI062;"'01.03.2024 08:00'";13;16;18;-;"sehr gut"
DENI062;"'01.03.2024 09:00'";13;21;15;-;"sehr gut"
DENI062;"'01.03.2024 10:00'";14;28;11;-;"sehr gut"
DENI062;"'01.03.2024 11:00'";14;33;10;-;"sehr gut"
DENI062;"'01.03.2024 12:00'";15;40;10;-;"sehr gut"
DENI062;"'01.03.2024 13:00'";15;48;9;-;"sehr gut"
DENI062;"'01.03.2024 14:00'";15;54;9;-;"sehr gut"
DENI062;"'01.03.2024 15:00'";15;57;9;-;"sehr gut"
DENI062;"'01.03.2024 16:00'";16;55;11;-;"sehr gut"
DENI062;"'01.03.2024 17:00'";16;55;10;-;"sehr gut"
DENI062;"'01.03.2024 18:00'";16;40;22;-;gut
DENI062;"'01.03.2024 19:00'";16;44;17;-;"sehr gut"
DENI062;"'01.03.2024 20:00'";16;40;19;-;"sehr gut"
DENI062;"'01.03.2024 21:00'";16;45;11;-;"sehr gut"
DENI062;"'01.03.2024 22:00'";16;48;10;-;"sehr gut"
DENI062;"'01.03.2024 23:00'";16;42;13;-;"sehr gut"
DENI062;"'01.03.2024 24:00'";16;33;13;-;"sehr gut"
DENI062;"'02.03.2024 01:00'";16;26;12;-;"sehr gut"
DENI062;"'02.03.2024 02:00'";16;26;10;-;"sehr gut"
DENI062;"'02.03.2024 03:00'";17;-;10;-;"sehr gut"
DENI062;"'02.03.2024 04:00'";17;23;-;-;"sehr gut"
DENI062;"'02.03.2024 05:00'";17;27;10;-;"sehr gut"
DENI062;"'02.03.2024 06:00'";17;28;11;-;"sehr gut"
DENI062;"'02.03.2024 07:00'";17;28;11;-;"sehr gut"
DENI062;"'02.03.2024 08:00'";17;27;12;-;"sehr gut"
DENI062;"'02.03.2024 09:00'";17;34;11;-;"sehr gut"
DENI062;"'02.03.2024 10:00'";17;36;10;-;"sehr gut"
DENI062;"'02.03.2024 11:00'";17;46;8;-;"sehr gut"
DENI062;"'02.03.2024 12:00'";17;52;7;-;"sehr gut"
DENI062;"'02.03.2024 13:00'";17;53;7;-;"sehr gut"
DENI062;"'02.03.2024 14:00'";17;54;8;-;"sehr gut"
DENI062;"'02.03.2024 15:00'";17;54;8;-;"sehr gut"
DENI062;"'02.03.2024 16:00'";17;55;8;-;"sehr gut"
DENI062;"'02.03.2024 17:00'";17;63;7;-;gut
DENI062;"'02.03.2024 18:00'";16;63;9;-;gut
DENI062;"'02.03.2024 19:00'";16;52;13;-;"sehr gut"
DENI062;"'02.03.2024 20:00'";16;52;11;-;"sehr gut"
DENI062;"'02.03.2024 21:00'";16;50;11;-;"sehr gut"
DENI062;"'02.03.2024 22:00'";16;52;7;-;"sehr gut"
DENI062;"'02.03.2024 23:00'";16;52;6;-;"sehr gut"
DENI062;"'02.03.2024 24:00'";16;50;6;-;"sehr gut"
DENI062;"'03.03.2024 01:00'";16;38;13;-;"sehr gut"
DENI062;"'03.03.2024 02:00'";15;37;10;-;"sehr gut"
DENI062;"'03.03.2024 03:00'";15;29;14;-;"sehr gut"
DENI062;"'03.03.2024 04:00'";15;-;9;-;"sehr gut"
DENI062;"'03.03.2024 05:00'";14;23;-;-;"sehr gut"
DENI062;"'03.03.2024 06:00'";14;23;13;-;"sehr gut"
DENI062;"'03.03.2024 07:00'";15;23;11;-;"sehr gut"
DENI062;"'03.03.2024 08:00'";15;23;9;-;"sehr gut"
DENI062;"'03.03.2024 09:00'";15;23;10;-;"sehr gut"
DENI062;"'03.03.2024 10:00'";15;29;8;-;"sehr gut"
DENI062;"'03.03.2024 11:00'";16;38;7;-;"sehr gut"
DENI062;"'03.03.2024 12:00'";16;51;6;-;"sehr gut"
DENI062;"'03.03.2024 13:00'";16;64;5;-;gut
DENI062;"'03.03.2024 14:00'";16;65;6;-;gut
DENI062;"'03.03.2024 15:00'";17;72;4;-;gut
DENI062;"'03.03.2024 16:00'";17;67;9;-;gut
DENI062;"'03.03.2024 17:00'";17;63;10;-;gut
DENI062;"'03.03.2024 18:00'";18;65;6;-;gut
DENI062;"'03.03.2024 19:00'";19;59;6;-;"sehr gut"
DENI062;"'03.03.2024 20:00'";19;55;5;-;"sehr gut"
DENI062;"'03.03.2024 21:00'";20;48;7;-;"sehr gut"
DENI062;"'03.03.2024 22:00'";21;46;7;-;gut
DENI062;"'03.03.2024 23:00'";22;46;6;-;gut
DENI062;"'03.03.2024 24:00'";22;44;5;-;gut
DENI062;"'04.03.2024 01:00'";23;42;5;-;gut
DENI062;"'04.03.2024 02:00'";23;38;6;-;gut
DENI062;"'04.03.2024 03:00'";24;33;6;-;gut
DENI062;"'04.03.2024 04:00'";25;29;6;-;gut
DENI062;"'04.03.2024 05:00'";25;-;6;-;gut
DENI062;"'04.03.2024 06:00'";26;24;7;-;gut
DENI062;"'04.03.2024 07:00'";26;19;8;-;gut
DENI062;"'04.03.2024 08:00'";26;16;12;-;gut
DENI062;"'04.03.2024 09:00'";26;18;11;-;gut
DENI062;"'04.03.2024 10:00'";27;25;8;-;gut
DENI062;"'04.03.2024 11:00'";27;27;8;-;gut
DENI062;"'04.03.2024 12:00'";28;30;7;-;gut
DENI062;"'04.03.2024 13:00'";29;34;7;-;gut
DENI062;"'04.03.2024 14:00'";29;51;6;-;gut
DENI062;"'04.03.2024 15:00'";30;66;5;-;gut
DENI062;"'04.03.2024 16:00'";30;72;6;-;gut
DENI062;"'04.03.2024 17:00'";31;72;5;-;gut
DENI062;"'04.03.2024 18:00'";31;67;6;-;gut
DENI062;"'04.03.2024 19:00'";31;63;5;-;gut
DENI062;"'04.03.2024 20:00'";31;59;5;-;gut
DENI062;"'04.03.2024 21:00'";31;55;5;-;gut
DENI062;"'04.03.2024 22:00'";31;57;4;-;gut
DENI062;"'04.03.2024 23:00'";31;61;-;-;gut
DENI062;"'04.03.2024 24:00'";30;61;3;-;gut
DENI062;"'05.03.2024 01:00'";30;61;3;-;gut
DENI062;"'05.03.2024 02:00'";29;58;3;-;gut
DENI062;"'05.03.2024 03:00'";28;56;3;-;gut
DENI062;"'05.03.2024 04:00'";27;53;4;-;gut
DENI062;"'05.03.2024 05:00'";27;51;4;-;gut
DENI062;"'05.03.2024 06:00'";26;49;5;-;gut
DENI062;"'05.03.2024 07:00'";25;48;6;-;gut
DENI062;"'05.03.2024 08:00'";25;47;6;-;gut
DENI062;"'05.03.2024 09:00'";25;47;7;-;gut
DENI062;"'05.03.2024 10:00'";24;52;6;-;gut
DENI062;"'05.03.2024 11:00'";23;-;-;-;gut
DENI062;"'05.03.2024 12:00'";22;-;-;-;gut
DENI062;"'05.03.2024 13:00'";21;-;4;-;gut
DENI062;"'05.03.2024 14:00'";20;-;3;-;"sehr gut"
DENI062;"'05.03.2024 15:00'";19;80;3;-;gut
DENI062;"'05.03.2024 16:00'";19;78;4;-;gut
DENI062;"'05.03.2024 17:00'";18;75;4;-;gut
DENI062;"'05.03.2024 18:00'";17;73;4;-;gut
DENI062;"'05.03.2024 19:00'";16;67;4;-;gut
DENI062;"'05.03.2024 20:00'";16;65;4;-;gut
DENI062;"'05.03.2024 21:00'";15;57;5;-;"sehr gut"
DENI062;"'05.03.2024 22:00'";15;52;6;-;"sehr gut"
DENI062;"'05.03.2024 23:00'";15;44;11;-;"sehr gut"
DENI062;"'05.03.2024 24:00'";15;35;-;-;"sehr gut"
DENI062;"'06.03.2024 01:00'";15;32;11;-;"sehr gut"
DENI062;"'06.03.2024 02:00'";15;21;15;-;"sehr gut"
DENI062;"'06.03.2024 03:00'";16;15;17;-;"sehr gut"
DENI062;"'06.03.2024 04:00'";16;27;12;-;"sehr gut"
DENI062;"'06.03.2024 05:00'";16;29;13;-;"sehr gut"
DENI062;"'06.03.2024 06:00'";16;30;18;-;"sehr gut"
DENI062;"'06.03.2024 07:00'";15;25;24;-;gut
DENI062;"'06.03.2024 08:00'";15;23;25;-;gut
DENI062;"'06.03.2024 09:00'";15;33;15;-;"sehr gut"
DENI062;"'06.03.2024 10:00'";14;41;9;-;"sehr gut"
DENI062;"'06.03.2024 11:00'";14;42;9;-;"sehr gut"
DENI062;"'06.03.2024 12:00'";14;55;6;-;"sehr gut"
DENI062;"'06.03.2024 13:00'";14;62;5;-;gut
DENI062;"'06.03.2024 14:00'";15;67;4;-;gut
DENI062;"'06.03.2024 15:00'";15;69;4;-;gut
DENI062;"'06.03.2024 16:00'";15;72;3;-;gut
DENI062;"'06.03.2024 17:00'";15;72;3;-;gut
DENI062;"'06.03.2024 18:00'";15;69;4;-;gut
DENI062;"'06.03.2024 19:00'";15;62;5;-;gut
DENI062;"'06.03.2024 20:00'";15;61;4;-;gut
DENI062;"'06.03.2024 21:00'";15;56;6;-;"sehr gut"
DENI062;"'06.03.2024 22:00'";15;53;6;-;"sehr gut"
DENI062;"'06.03.2024 23:00'";15;-;9;-;"sehr gut"
DENI062;"'06.03.2024 24:00'";15;37;10;-;"sehr gut"
DENI062;"'07.03.2024 01:00'";16;32;-;-;"sehr gut"
DENI062;"'07.03.2024 02:00'";17;31;9;-;"sehr gut"
DENI062;"'07.03.2024 03:00'";18;30;8;-;"sehr gut"
DENI062;"'07.03.2024 04:00'";18;30;8;-;"sehr gut"
DENI062;"'07.03.2024 05:00'";19;46;5;-;"sehr gut"
DENI062;"'07.03.2024 06:00'";19;62;3;-;gut
DENI062;"'07.03.2024 07:00'";20;65;3;-;gut
DENI062;"'07.03.2024 08:00'";20;67;4;-;gut
DENI062;"'07.03.2024 09:00'";20;69;3;-;gut
DENI062;"'07.03.2024 10:00'";20;68;4;-;gut
DENI062;"'07.03.2024 11:00'";20;67;4;-;gut
DENI062;"'07.03.2024 12:00'";20;66;5;-;gut
DENI062;"'07.03.2024 13:00'";20;63;7;-;gut
DENI062;"'07.03.2024 14:00'";21;66;6;-;gut
DENI062;"'07.03.2024 15:00'";21;71;6;-;gut
DENI062;"'07.03.2024 16:00'";21;73;7;-;gut
DENI062;"'07.03.2024 17:00'";21;75;6;-;gut
DENI062;"'07.03.2024 18:00'";21;76;3;-;gut
DENI062;"'07.03.2024 19:00'";22;73;4;-;gut
DENI062;"'07.03.2024 20:00'";22;72;5;-;gut
DENI062;"'07.03.2024 21:00'";22;71;7;-;gut
DENI062;"'07.03.2024 22:00'";23;70;6;-;gut
DENI062;"'07.03.2024 23:00'";23;69;6;-;gut
DENI062;"'07.03.2024 24:00'";22;-;5;-;gut
DENI062;"'08.03.2024 01:00'";22;64;5;-;gut
DENI062;"'08.03.2024 02:00'";21;62;-;-;gut
DENI062;"'08.03.2024 03:00'";20;60;5;-;"sehr gut"
DENI062;"'08.03.2024 04:00'";19;56;6;-;"sehr gut"
DENI062;"'08.03.2024 05:00'";19;52;9;-;"sehr gut"
DENI062;"'08.03.2024 06:00'";19;47;10;-;"sehr gut"
DENI062;"'08.03.2024 07:00'";19;43;13;-;"sehr gut"
DENI062;"'08.03.2024 08:00'";19;39;14;-;"sehr gut"
DENI062;"'08.03.2024 09:00'";19;42;10;-;"sehr gut"
DENI062;"'08.03.2024 10:00'";19;49;9;-;"sehr gut"
DENI062;"'08.03.2024 11:00'";20;58;9;-;"sehr gut"
DENI062;"'08.03.2024 12:00'";20;65;8;-;gut
DENI062;"'08.03.2024 13:00'";20;75;9;-;gut
DENI062;"'08.03.2024 14:00'";20;78;9;-;gut
DENI062;"'08.03.2024 15:00'";20;83;8;-;gut
DENI062;"'08.03.2024 16:00'";20;83;7;-;gut
DENI062;"'08.03.2024 17:00'";20;80;10;-;gut
DENI062;"'08.03.2024 18:00'";20;72;15;-;gut
DENI062;"'08.03.2024 19:00'";20;67;16;-;gut
DENI062;"'08.03.2024 20:00'";20;67;15;-;gut
DENI062;"'08.03.2024 21:00'";20;68;15;-;gut
DENI062;"'08.03.2024 22:00'";20;70;13;-;gut
DENI062;"'08.03.2024 23:00'";20;69;12;-;gut
DENI062;"'08.03.2024 24:00'";20;62;17;-;gut
DENI062;"'09.03.2024 01:00'";20;-;16;-;"sehr gut"
DENI062;"'09.03.2024 02:00'";20;59;17;-;"sehr gut"
DENI062;"'09.03.2024 03:00'";20;58;-;-;"sehr gut"
DENI062;"'09.03.2024 04:00'";20;63;9;-;gut
DENI062;"'09.03.2024 05:00'";21;61;8;-;gut
DENI062;"'09.03.2024 06:00'";21;57;9;-;gut
DENI062;"'09.03.2024 07:00'";21;51;10;-;gut
DENI062;"'09.03.2024 08:00'";22;46;12;-;gut
DENI062;"'09.03.2024 09:00'";22;47;11;-;gut
DENI062;"'09.03.2024 10:00'";23;48;12;-;gut
DENI062;"'09.03.2024 11:00'";23;53;11;-;gut
DENI062;"'09.03.2024 12:00'";23;59;9;-;gut
DENI062;"'09.03.2024 13:00'";23;64;7;-;gut
DENI062;"'09.03.2024 14:00'";23;65;9;-;gut
DENI062;"'09.03.2024 15:00'";23;70;8;-;gut
DENI062;"'09.03.2024 16:00'";23;67;10;-;gut
DENI062;"'09.03.2024 17:00'";23;63;12;-;gut
DENI062;"'09.03.2024 18:00'";23;64;9;-;gut
DENI062;"'09.03.2024 19:00'";23;51;18;-;gut
DENI062;"'09.03.2024 20:00'";23;58;9;-;gut
DENI062;"'09.03.2024 21:00'";23;58;7;-;gut
DENI062;"'09.03.2024 22:00'";24;58;8;-;gut
DENI062;"'09.03.2024 23:00'";24;57;7;-;gut
DENI062;"'09.03.2024 24:00'";24;58;7;-;gut
DENI062;"'10.03.2024 01:00'";25;54;7;-;gut
DENI062;"'10.03.2024 02:00'";25;-;7;-;gut
